id,cfu,parte,topic,question,opt_a,opt_b,opt_c,correct,source,explanation
25,both,1,ids,La ITERATIVE DEEPENING SEARCH (IDS) combina i vantaggi di:,A* e RBFS,BFS (completezza/ottimalità) e DFS (occupazione di memoria),minimax e alfa-beta,b,sisint1,In parole povere: IDS combina la completezza/ottimalità di BFS (esplorazione per livelli) con la memoria lineare di DFS. Il costo è solo costante: riesplorare nodi superficiali è dominato dall'esplorazione del livello più profondo.
26,both,1,complessita_bfs,"La COMPLESSITÀ in tempo della BFS è (b=branching, d=profondità soluzione):",O(b^d),O(d!),O(log b),a,sisint1,In parole povere: BFS espande TUTTI i nodi fino a profondità d. Con branching b ci sono b + b² + ... + b^d ≈ b^d nodi. Stessa complessità in spazio (memorizza la frontiera).
27,both,1,uniform_cost,La ricerca UNIFORM-COST espande il nodo con:,maggiore profondità,minore costo di percorso g(n) dal nodo iniziale,massima euristica,b,sisint1,In parole povere: Uniform-cost (Dijkstra) espande il nodo con MINOR costo g(n) accumulato dall'inizio. Garantisce ottimalità con costi positivi. Diverso da BFS (che usa profondità) e da greedy (che usa h).
28,both,1,astar,A* espande il nodo che minimizza:,h(n),g(n),f(n)=g(n)+h(n),c,sisint1,In parole povere: A* combina costo passato g(n) e stima futura h(n) in f(n) è quando g(n)+h(n). Il nodo espanso è sempre quello che minimizza il costo totale stimato della soluzione che passa per esso.
29,both,1,astar,A* con euristica AMMISSIBILE su grafo (con tree-search) garantisce:,solo completezza,ottimalità (oltre a completezza con costi positivi),solo terminazione,b,sisint1,"In parole povere: Con euristica ammissibile (non sovrastima il costo reale) e costi positivi, A* è completa e ottima usando tree-search. Per graph-search serve consistenza, altrimenti basta riaprire i nodi."
30,both,1,ammissibile,Un'euristica si dice AMMISSIBILE quando:,non sovrastima mai il costo reale per raggiungere il goal,è sempre maggiore di zero,sovrastima sempre il costo reale,a,sisint1,"In parole povere: Ammissibilità è quando h(n) ≤ h*(n), dove h*(n) è il vero costo da n al goal. Garantisce che A* non potoni il cammino ottimo. Una h che sovrastima può far ignorare la soluzione migliore."
31,both,1,consistente,Un'euristica si dice CONSISTENTE (monotona) quando:,"h(n) <= c(n,n') + h(n') per ogni successore n'",h è sempre nulla nel goal,h cresce monotonicamente,a,sisint1,"In parole povere: Consistenza (monotonia) è proprietà più forte di ammissibilità: per ogni arco (n,n') vale h(n) ≤ c(n,n') + h(n'). Implica che f sia non decrescente sui cammini e quindi A* con graph-search è ottima senza riapertura."
32,both,1,dominante,Date due euristiche ammissibili h1 e h2 con h2(n) >= h1(n) per ogni n; h2 si dice:,inammissibile rispetto a h1,dominante su h1,equivalente a h1,b,sisint1,In parole povere: Dominanza è una relazione tra euristiche ammissibili: h2 ≥ h1 ovunque. Con h dominante A* espande meno nodi (a parità di ottimalità) perché stringe di più i bound.
33,both,1,rbfs,RBFS (Recursive Best-First Search) ha come vantaggio principale rispetto ad A*:,non richiede euristica,uso di memoria lineare nella profondità,sempre completezza in spazi infiniti,b,sisint1,"In parole povere: RBFS imita best-first con backtracking ricorsivo: tiene in memoria solo il cammino corrente (memoria lineare in d), non l'intera frontiera. Trade-off: rivisita nodi quando il backtrack riapre rami già scartati."
34,both,1,minimax,L'algoritmo MINIMAX si applica a:,giochi a somma zero a due giocatori con informazione completa,giochi cooperativi,problemi di clustering,a,sisint1,"In parole povere: Minimax è formulato per giochi a SOMMA ZERO, due giocatori (MAX/MIN) con perfetta informazione. Per giochi cooperativi o multi-giocatore servono varianti (max^n, ecc.)."
35,both,1,alfa_beta,La potatura ALFA-BETA:,modifica il risultato di minimax,calcola lo stesso risultato di minimax esplorando in genere meno nodi,è completa solo per giochi stocastici,b,sisint1,"In parole povere: Alfa-beta è una potatura SAFE: non cambia il valore minimax calcolato, ma evita di esplorare sottoalberi che non possono influenzare la decisione finale. Cambia solo l'efficienza."
36,both,1,alfa_beta,"Con ordinamento ottimo delle mosse, la potatura alfa-beta ha complessità temporale:",O(b^m),O(b^(m/2)),O(m log b),b,sisint1,"In parole povere: Con ordinamento perfetto delle mosse (best first), alfa-beta visita solo b^(m/2) nodi invece di b^m. Permette di raddoppiare la profondità di ricerca a parità di tempo."
37,both,1,csp,Un CSP è definito da:,solo un insieme di vincoli,"variabili, domini e vincoli",solo variabili e funzione obiettivo,b,sisint1,"In parole povere: Un CSP è la tripla <X, D, C>: X è quando insieme di variabili, D è quando domini, C è quando vincoli (relazioni tra sottoinsiemi di variabili). Niente funzione obiettivo (sarebbe CSOP)."
38,both,1,csp_soluzione,Una SOLUZIONE di un CSP è:,un cammino dal nodo iniziale al goal,un assegnamento ai variabili che soddisfa tutti i vincoli,una sequenza di mosse di un giocatore,b,sisint1,"In parole povere: Soluzione di CSP è quando assegnamento completo che soddisfa TUTTI i vincoli. Non un cammino: nei CSP la sequenza di assegnamenti non importa, conta solo l'assegnamento finale."
39,both,1,backtracking,Il BACKTRACKING in un CSP:,assegna valori a tutte le variabili contemporaneamente,assegna variabili una alla volta e torna indietro al primo vincolo violato,è equivalente a forward checking,b,sisint1,"In parole povere: Backtracking è quando DFS specializzato per CSP. Assegna variabili una alla volta; se viola un vincolo, torna indietro all'ultima scelta e prova un altro valore. Forward checking lo potenzia eliminando valori inconsistenti dai domini futuri."
40,both,1,forward_checking,Il FORWARD CHECKING:,non ha alcun effetto sui domini,elimina dal dominio delle variabili non ancora assegnate i valori incompatibili con l'assegnamento corrente,è uguale ad arc consistency,b,sisint1,"In parole povere: Forward checking, dopo ogni assegnamento, elimina dai domini delle variabili future i valori inconsistenti con il vincolo attivo. Rileva precocemente fallimenti. Più debole di arc consistency (che considera anche vincoli tra variabili future)."
41,both,1,ac3,L'algoritmo AC-3 garantisce:,strong k-consistency,arc consistency (2-consistency),path consistency,b,sisint1,"In parole povere: AC-3 stabilisce ARC CONSISTENCY (2-consistency): ogni valore in ogni variabile è supportato da almeno un valore consistente in ciascun arco. Path consistency è quando 3-consistency, più costosa."
42,both,1,kconsistency,La K-CONSISTENCY afferma che:,ogni vincolo è soddisfatto,per ogni assegnamento consistente di k-1 variabili esiste un'estensione consistente alla k-esima,la rete di vincoli è completa,b,sisint1,In parole povere: K-consistency: ogni assegnamento consistente a k-1 variabili può essere esteso a una k-esima variabile mantenendo la consistenza. Strong k-consistency è quando j-consistency per tutti j ≤ k. Costo cresce esponenzialmente con k.
43,both,1,backjumping,Il BACKJUMPING differisce dal backtracking perché:,non esplora alternative,"torna indietro al nodo più recente responsabile del fallimento, saltando intermedi",non usa vincoli,b,sisint1,"In parole povere: Backjumping invece di tornare al genitore immediato, salta direttamente al nodo più recente i cui assegnamenti hanno causato il conflitto (conflict-directed). Riduce il backtrack inutile su variabili indipendenti."
44,both,1,blind_vs_informed,Differenza chiave tra ricerca BLIND e INFORMATA:,la blind usa euristica e l'informata no,la informata usa una funzione euristica che stima il costo al goal,la blind è sempre più rapida,b,sisint1,"In parole povere: Informata è quando usa un'euristica h(n) che stima il costo (o la distanza) per raggiungere il goal dal nodo n. La blind no, vede solo la struttura del problema senza guida di dominio."
45,both,1,greedy,La ricerca GREEDY BEST-FIRST espande il nodo che minimizza:,g(n),h(n),f(n)=g+h,b,sisint1,"In parole povere: Greedy best-first espande il nodo con h(n) minimo (la stima più bassa di distanza al goal). Veloce ma non considera il costo già speso, quindi può scegliere cammini lunghi che 'sembrano' vicini al goal."
46,both,1,greedy,La ricerca greedy best-first è:,completa e ottima sempre,non completa né ottima in generale,equivalente a uniform-cost,b,sisint1,"In parole povere: Greedy può ciclare (non completo senza graph-search) e può scegliere cammini sub-ottimi perché ignora g(n). Esempio classico: Romania, da Iași a Fagaraș via Neamț (vicolo cieco)."
47,both,1,iddfs,IDDFS è completa per spazi di stati:,infiniti,finiti con branching factor finito,solo bidimensionali,b,sisint1,In parole povere: IDDFS è completa su spazi con branching factor finito (anche se infinitamente profondi): per ogni profondità d esiste un'iterazione che la esplora. Su spazi infiniti in larghezza non lo è.
48,both,1,memoria,"Tra BFS e DFS, qual è il vantaggio di DFS sul piano della memoria?",DFS richiede memoria O(b·m) lineare nella profondità,DFS richiede O(b^d) come BFS,DFS richiede memoria costante,a,sisint1,In parole povere: DFS usa O(b·m) memoria: solo il cammino corrente + fratelli non espansi. BFS deve memorizzare l'intera frontiera è quando O(b^d). Per d>>m questo è un trade-off enorme.
49,both,1,giochi,Una FUNZIONE DI VALUTAZIONE in un gioco serve a:,calcolare il costo reale del cammino,stimare l'utilità di una posizione non terminale,sostituire la funzione obiettivo,b,sisint1,In parole povere: Funzione di valutazione è quando approssimazione di utilità per stati NON terminali. Permette di troncare la ricerca (depth-limited) e stimare chi sta vincendo. Negli scacchi: materiale + posizione + ecc.
50,both,1,giochi,Un gioco a SOMMA ZERO ha la proprietà che:,la somma delle utilità dei giocatori è costante (tipicamente zero),tutti i giocatori vincono,le mosse sono casuali,a,sisint1,In parole povere: Somma zero: utilità(MAX) + utilità(MIN) è quando costante. Ciò che uno guadagna l'altro perde. Permette di modellare il gioco con un'unica funzione utilità da massimizzare/minimizzare.
51,both,1,minimax_assunzione,Minimax assume che l'avversario:,giochi a caso,giochi in modo ottimo (minimizzando l'utilità di MAX),collabori con MAX,b,sisint1,"In parole povere: Minimax assume gioco ottimale di entrambi: MAX cerca max utilità, MIN cerca minimizzarla. Se l'avversario gioca male, minimax è ancora corretto (al peggio è quando al meglio per MAX) ma può non essere ottimo nella pratica."
52,both,1,csp_es,La colorazione di una mappa con k colori è un esempio classico di:,problema NP-completo modellabile come CSP,problema di clustering,gioco a somma zero,a,sisint1,"In parole povere: Mappa con k colori, quindi CSP: variabili è quando regioni, domini è quando {1..k}, vincoli binari è quando regioni adiacenti hanno colori diversi. Classico problema NP-completo (per k=3 su grafi generali)."
53,both,1,nqueen,Il problema delle N regine può essere risolto:,solo con ricerca informata,come CSP con backtracking + arc consistency,solo con BFS,b,sisint1,"In parole povere: N-regine si modella come CSP: variabili è quando N regine (una per colonna), dominio è quando righe {1..N}, vincoli binari è quando nessuna stessa riga né diagonale. Risolvibile efficientemente con AC + backtracking."
54,both,1,planning_intro,Il PLANNING in IA serve a:,classificare istanze,costruire una sequenza di azioni per raggiungere un obiettivo,risolvere CSP,b,sisint1,"In parole povere: Planning è quando costruire automaticamente una sequenza di azioni per raggiungere un goal a partire da uno stato iniziale, dato un modello delle azioni (precondizioni ed effetti)."
55,9,1,giochi_stoc,Un gioco STOCASTICO si caratterizza per:,assenza di avversario,"presenza di una componente aleatoria (es. lancio dadi, pesca carte)",utilizzo solo di minimax classico,b,sisint1,"In parole povere: Stocastici è quando giochi con componente aleatoria intrinseca (dadi, mescolata di carte): l'esito di un'azione non è deterministicamente prevedibile. Backgammon, briscola, poker."
56,9,1,giochi_stoc,Quale dei seguenti è un esempio di gioco stocastico?,scacchi,backgammon,othello,b,sisint1,In parole povere: Backgammon: ogni mossa è preceduta da lancio di 2 dadi che determina le mosse possibili. Componente aleatoria forte. Scacchi e othello sono deterministici.
57,9,1,expectiminimax,L'algoritmo EXPECTIMINIMAX si distingue da minimax perché:,non considera nodi MAX,introduce nodi di casualità con valore = somma pesata dalla probabilità degli outcome,non usa funzione di utilità,b,sisint1,In parole povere: Expectiminimax estende minimax aggiungendo NODI DI CASUALITÀ tra mosse di MAX e MIN. Il valore di un nodo casuale è la media pesata (per probabilità) dei valori dei figli.
58,9,1,expectiminimax,Prerequisito per applicare expectiminimax è:,conoscere il colore delle carte avversarie,conoscere le distribuzioni di probabilità dei nodi di casualità,avere un avversario casuale,b,sisint1,In parole povere: Per applicare expectiminimax devo conoscere la percentuali di probabilità di ogni evento casuale (es. probabilità di ogni combinazione dei dadi 1/36 ciascuna nel backgammon).
59,9,1,nodi_casuali,In expectiminimax un nodo CASUALE ha valore:,massimo dei figli,"somma_r P(r) * expectiminimax(result(s,r))",minimo dei figli,b,sisint1,"In parole povere: Nodo casuale: V(s) è quando Σ_r P(r) · expectiminimax(result(s,r)). È un'aspettazione, non un max né min. Riflette l'incertezza sull'esito."
60,9,1,expectiminimax_compl,La complessità temporale di expectiminimax è:,O(b^m),O(b^m · n^m) con n eventi casuali distinti,O(log n),b,sisint1,In parole povere: Complessità expectiminimax è O(b^m · n^m) dove n è quando numero esiti casuali per nodo. Esponenziale in più rispetto a minimax: i nodi casuali moltiplicano il branching.
61,9,1,expectiminimax_alfabeta,La potatura alfa-beta in expectiminimax:,si applica facilmente come in minimax,è difficilmente applicabile perché i nodi casuali sono medie e non si hanno bound certi,è impossibile,b,sisint1,"In parole povere: Alfa-beta in expectiminimax è difficile: i nodi casuali calcolano medie, quindi non c'è un bound certo come max o min. Esiste *probabilistic alpha-beta* ma richiede bound sui valori delle utility."
62,9,1,variabile_aleatoria,Una VARIABILE ALEATORIA è:,una costante numerica,una variabile che assume valore in un insieme predefinito in funzione di un fenomeno aleatorio,una funzione deterministica,b,sisint1,"In parole povere: Variabile aleatoria è quando mappa da uno spazio campionario a un valore (numero, categoria). Il suo valore dipende dall'esito di un fenomeno aleatorio. Esempi: lancio di dado, colore di pallina estratta."
63,9,1,incertezza,Le cause principali dell'incertezza per un agente sono:,conoscenza imperfetta e osservabilità parziale,solo errori di programmazione,solo rumore dei sensori,a,sisint1,"In parole povere: Le due fonti tipiche di incertezza per un agente: (1) conoscenza imperfetta delle regole del mondo, (2) osservabilità parziale (sensori non vedono tutto). Entrambe vanno modellate per agire razionalmente."
64,both,2,logica_intro,La RAPPRESENTAZIONE DELLA CONOSCENZA mira a:,evitare il ragionamento esplicito,permettere a un sistema di rappresentare fatti del mondo e ragionare su di essi,sostituire l'apprendimento automatico,b,sisint1,"In parole povere: Rappresentazione della conoscenza è quando formalizzare fatti sul mondo in modo che un sistema possa ragionare automaticamente su di essi (inferenza, query answering, verifica consistenza)."
65,both,2,prop_sintassi,Una FORMULA ATOMICA in logica proposizionale è:,una variabile proposizionale,una congiunzione di letterali,una clausola di Horn,a,sisint1,"In parole povere: Formula atomica in logica proposizionale è quando una singola variabile proposizionale (es. P, Piove). È l'unità base; congiunzioni o clausole sono formule composte."
66,both,2,letterale,Un LETTERALE è:,una formula atomica o la sua negazione,una formula in forma normale congiuntiva,una clausola con almeno due letterali positivi,a,sisint1,"In parole povere: Letterale è quando formula atomica (positiva, es. P) o sua negazione (negativa, es. ¬P). È il mattone base delle clausole."
67,both,2,clausola,Una CLAUSOLA è:,una congiunzione di letterali,una disgiunzione di letterali,una formula ben formata qualsiasi,b,sisint1,In parole povere: Clausola è quando DISGIUNZIONE di letterali (l1 ∨ l2 ∨ ... ∨ ln). Le clausole vuote (= falso) e unitarie (= un solo letterale) sono casi limite. La CNF è congiunzione di clausole.
68,both,2,cnf,La forma normale CONGIUNTIVA (CNF) è:,una disgiunzione di clausole,una congiunzione di clausole,una sequenza di implicazioni,b,sisint1,In parole povere: CNF è quando congiunzione di clausole (= ∧ di ∨). Ogni formula proposizionale può essere trasformata in CNF equivalente. Forma normale richiesta dalla risoluzione.
69,both,2,tautologia,Una TAUTOLOGIA è una formula:,sempre vera in ogni interpretazione,sempre falsa in ogni interpretazione,vera in almeno una interpretazione,a,sisint1,In parole povere: Tautologia è quando vera in OGNI interpretazione/modello (esempio: A ∨ ¬A). Concettualmente: verità logica indipendente dal mondo specifico.
70,both,2,contraddizione,Una CONTRADDIZIONE è una formula:,sempre falsa in ogni interpretazione,sempre vera,soddisfacibile,a,sisint1,In parole povere: Contraddizione è quando falsa in ogni interpretazione (es. A ∧ ¬A). Una KB contraddittoria implica tutto (ex falso quodlibet) — pessima!
71,both,2,soddisfacibile,Una formula è SODDISFACIBILE se:,è vera in almeno una interpretazione,è vera in tutte le interpretazioni,non ha modelli,a,sisint1,In parole povere: Soddisfacibile è quando esiste ALMENO un'interpretazione che la rende vera. Diverso da valida (vera in tutte) e da insoddisfacibile (vera in nessuna).
72,both,2,clausola_horn,Una CLAUSOLA DI HORN ha:,almeno due letterali positivi,al più un letterale positivo,nessun letterale negativo,b,sisint1,"In parole povere: Clausola di Horn è quando clausola con AT MOST UN letterale positivo. Forme: solo negativi (¬A∨¬B), una positiva pura (P), regola (¬A∨¬B∨C ≡ A∧B→C). Permette inferenza efficiente lineare (Prolog)."
73,both,2,modus_ponens,Il MODUS PONENS è una regola di inferenza che dato A e A=>B deduce:,not A,B,A and B,b,sisint1,In parole povere: Modus ponens: da A e A→B deduco B. Regola fondamentale della logica deduttiva. Forward chaining la applica iterativamente sui fatti noti.
74,both,2,risoluzione,La RISOLUZIONE per la logica proposizionale è:,corretta ma non completa,corretta e refutation-complete,solo euristica,b,sisint1,In parole povere: Risoluzione proposizionale è REFUTATION-COMPLETE: deriva la clausola vuota da KB ∧ ¬α se e solo se KB ⊨ α. Non genera direttamente TUTTE le conseguenze ma ne verifica una qualsiasi.
75,both,2,refutation,La dimostrazione per REFUTAZIONE di KB |= alpha consiste nel:,mostrare che KB and not alpha è insoddisfacibile,mostrare che KB and alpha è insoddisfacibile,mostrare che alpha è una tautologia,a,sisint1,"In parole povere: Refutazione è quando dimostrare per assurdo. Per provare KB ⊨ α, aggiungo ¬α alla KB e applico risoluzione: se derivo la clausola vuota (contraddizione), allora KB ⊨ α."
76,both,2,forward_chain,Il FORWARD CHAINING (catena in avanti) parte da:,fatti noti e applica regole per derivare nuovi fatti,goal e cerca premesse,una contraddizione,a,sisint1,"In parole povere: Forward chaining è quando data-driven. Parte dai fatti, applica regole le cui premesse sono soddisfatte, deriva nuovi fatti. Si ferma quando non c'è più nulla da derivare o si trova il goal. Efficiente per Horn KB."
77,both,2,backward_chain,Il BACKWARD CHAINING (catena all'indietro) parte da:,fatti iniziali,goal e cerca regole con quel goal come conclusione,assiomi della KB,b,sisint1,"In parole povere: Backward chaining è quando goal-driven. Parte dal goal, cerca regole che lo concludono e tenta di soddisfarne le premesse ricorsivamente. È il modello di Prolog."
78,both,2,fol_intro,La LOGICA DEL PRIM'ORDINE (FOL) si distingue dalla proposizionale perché:,non usa connettivi,"introduce predicati, funzioni, quantificatori e variabili",è meno espressiva,b,sisint1,"In parole povere: FOL aggiunge: variabili, quantificatori (∀, ∃), predicati n-ari, funzioni. È strettamente più espressiva della proposizionale (può parlare di oggetti, non solo proposizioni atomiche)."
79,both,2,fol_quant,Il quantificatore UNIVERSALE forall x P(x) significa:,esiste almeno un x tale che P(x),per ogni x vale P(x),vale P solo per x noti,b,sisint1,"In parole povere: ∀x P(x): per QUALSIASI scelta di x nel dominio, P(x) è vera. Universale è quando afferma una proprietà comune a tutto il dominio."
80,both,2,fol_quant,Il quantificatore ESISTENZIALE exists x P(x) significa:,per ogni x vale P(x),esiste almeno un x tale che P(x),non vale mai P,b,sisint1,In parole povere: ∃x P(x): esiste ALMENO UN x nel dominio per cui P(x) è vera. Non specifica quale. Si combinano nidificandoli (∀x ∃y ≠ ∃y ∀x).
81,both,2,ground,Una formula GROUND è:,una formula senza variabili (solo costanti),una clausola di Horn,una formula in CNF,a,sisint1,"In parole povere: Formula ground è quando senza variabili libere o legate, solo costanti e funzioni applicate a costanti. È una formula 'concretamente vera o falsa' una volta fissata l'interpretazione."
